DATES,TIMES,FlOW,NO3N,NH4N,ORTHO,CL,SO4S,SIO2,HCO3,NA,K,CA,MG,TKN,S 
1984/04/20,14:22,5.15 ,5.00,,,6.450 ,,,,2.840 ,,,,,
1984/04/23,11:18,4.33 ,4.90,,,6.000 ,,,,2.680 ,,,,,
1984/04/25,13:40,4.59 ,4.56,0.020 ,0.010 ,,17.200 ,,,2.940 ,1.360 ,9.590 ,4.370 ,,
1984/04/27,11:40,3.91 ,7.76,,,6.650 ,,,,2.540 ,,,,,
1984/04/30,09:47,4.68 ,7.70,,,6.350 ,,,,2.450 ,,,,,
1984/05/02,09:10,3.75 ,4.40,0.020 ,0.006 ,6.050 ,14.200 ,,,2.750 ,1.160 ,8.870 ,4.280 ,,
1984/05/02,09:08,3.75 ,8.00,,,6.300 ,,,,2.410 ,,,,,
1984/05/04,09:06,8.04 ,4.25,,0.002 ,7.050 ,,,,2.960 ,,,,,
1984/05/07,09:40,5.15 ,5.20,,,6.250 ,,,,2.640 ,,,,,
1984/05/09,12:00,5.15 ,4.43,0.010 ,0.010 ,,17.200 ,,,2.940 ,1.290 ,9.890 ,4.470 ,,
1984/05/09,08:13,5.44 ,4.70,0.040 ,,6.650 ,,,,2.740 ,,,,,
1984/05/11,08:13,4.33 ,4.55,0.020 ,,6.050 ,,,,2.660 ,,,,,
1984/05/14,08:53,3.99 ,4.40,,,,,,,,,,,,
1984/05/16,08:01,3.01 ,3.93,,,6.200 ,,,,2.650 ,,,,,
1984/05/18,13:30,2.49 ,4.07,,,6.300 ,,,,2.730 ,,,,,
1984/05/21,08:59,3.45 ,4.00,0.020 ,,6.800 ,,,,3.030 ,1.340 ,10.220 ,4.200 ,,
1984/05/25,10:55,2.49 ,5.15,,,5.850 ,,,,2.720 ,1.260 ,9.570 ,5.070 ,,
1984/05/29,09:10,49.19 ,8.85,0.360 ,0.030 ,6.300 ,,,,2.190 ,3.120 ,17.100 ,6.270 ,,
1984/05/30,09:53,52.46 ,8.30,,,6.700 ,,,,2.300 ,2.290 ,14.480 ,6.170 ,,
1984/06/01,09:00,14.80 ,6.80,,0.005 ,6.650 ,,,,2.450 ,,,,,
1984/06/04,09:03,5.44 ,5.56,,,6.600 ,,,,2.750 ,1.470 ,9.360 ,4.660 ,,
1984/06/06,14:08,3.68 ,5.23,,,6.750 ,,,,2.790 ,1.420 ,8.780 ,4.270 ,,
1984/06/08,13:18,2.68 ,4.77,,,6.800 ,,,,2.920 ,1.530 ,8.740 ,4.260 ,,
1984/06/13,13:15,1.48 ,4.67,,,6.800 ,,,,3.180 ,1.520 ,9.280 ,4.200 ,,
1984/06/13,12:15,1.52 ,4.60,0.030 ,,6.550 ,12.300 ,,,6.940 ,1.350 ,9.000 ,4.100 ,,
1984/06/13,17:10,1.66 ,4.40,0.040 ,,,12.100 ,,,8.280 ,1.480 ,9.380 ,4.260 ,,
1984/06/15,12:55,1.34 ,4.60,0.020 ,0.023 ,7.200 ,,,,4.460 ,1.590 ,9.930 ,4.460 ,,
1984/06/18,10:42,37.38 ,13.00,,0.030 ,7.500 ,21.100 ,,,3.640 ,4.570 ,24.780 ,8.710 ,,
1984/06/20,10:53,10.01 ,10.94,,,8.550 ,,,,3.190 ,4.040 ,31.120 ,,,
1984/06/20,10:50,10.01 ,10.65,,0.010 ,8.550 ,18.900 ,,,4.470 ,1.990 ,15.060 ,7.320 ,,
1984/06/22,12:14,3.99 ,8.90,,,7.950 ,,,,3.210 ,1.830 ,13.290 ,6.380 ,,
1984/06/25,12:14,20.78 ,9.32,0.040 ,0.010 ,7.500 ,19.800 ,,,2.690 ,4.400 ,29.360 ,,,
1984/06/27,12:11,7.52 ,7.82,0.160 ,,7.200 ,,,,2.780 ,3.570 ,26.160 ,,,
1984/06/29,12:00,4.16 ,7.08,,,6.950 ,,,,2.800 ,1.520 ,11.110 ,5.340 ,,
1984/07/02,13:41,8.58 ,8.30,,,7.450 ,,,,2.920 ,1.850 ,12.530 ,6.050 ,,
1984/07/05,10:00,3.83 ,4.30,0.380 ,0.030 ,7.200 ,16.000 ,,,2.990 ,1.710 ,13.380 ,6.230 ,,
1984/07/06,04:41,3.37 ,6.50,,,7.400 ,,,,3.060 ,1.630 ,11.860 ,5.560 ,,
1984/07/09,09:20,2.19 ,6.10,,,7.150 ,,,,3.170 ,1.600 ,12.280 ,5.780 ,,
1984/07/11,09:35,2.02 ,5.80,,,7.150 ,,,,3.780 ,1.740 ,12.190 ,5.590 ,,
1984/07/13,08:35,1.57 ,5.70,,0.005 ,7.350 ,,,,4.900 ,1.550 ,11.200 ,5.100 ,,
1984/07/16,08:50,1.66 ,,,,,,,,,,,,,
1984/07/18,08:30,1.62 ,5.00,,,7.700 ,,,,4.650 ,2.090 ,12.990 ,5.460 ,,
1984/07/20,12:00,0.92 ,2.40,,,7.600 ,,,,3.630 ,1.590 ,12.170 ,5.290 ,,
1984/07/23,08:53,0.86 ,4.40,,,6.950 ,,,,3.510 ,1.540 ,12.620 ,5.330 ,,
1984/07/25,14:25,0.64 ,3.10,,,7.050 ,,,,3.400 ,1.530 ,10.990 ,4.650 ,,
1984/07/27,09:00,2.02 ,3.20,,0.005 ,8.900 ,,,,4.140 ,2.840 ,13.490 ,5.130 ,,
